1, 7, 530, 454, 111, 58, 1, 4, 0
2, 7, 530, 454, 111, 58, 1, 4, 0
3, 7, 530, 454, 111, 58, 1, 4, 0
4, 7, 530, 454, 111, 58, 1, 4, 0
5, 7, 530, 454, 111, 58, 1, 4, 0
127, 1, 30, 203, 436, 214, 0, 4, 0
127, 2, 589, 238, 457, 143, 0, 4, 0
127, 6, 96, 203, 34, 37, 0, 1, 1
128, 1, 7, 209, 445, 214, 1, 4, 0
128, 2, 589, 238, 457, 143, 1, 4, 0
128, 6, 96, 203, 34, 37, 1, 1, 1
134, 6, 109, 210, 34, 37, 1, 1, 1
138, 6, 113, 208, 34, 37, 1, 1, 1
148, 1, 23, 208, 441, 214, 1, 4, 0
148, 6, 105, 210, 34, 37, 1, 1, 1
164, 6, 112, 211, 34, 37, 1, 1, 1
169, 1, 30, 203, 436, 214, 1, 4, 0
171, 1, 30, 203, 435, 214, 1, 4, 0
171, 6, 112, 211, 34, 36, 1, 1, 1
180, 6, 109, 211, 34, 32, 1, 1, 1
180, 7, 530, 454, 111, 58, 1, 4, 0
189, 6, 105, 210, 37, 38, 1, 1, 1
192, 2, 589, 232, 436, 131, 1, 4, 0
195, 6, 108, 212, 36, 32, 1, 1, 1
196, 1, 30, 202, 424, 209, 1, 4, 0
198, 6, 109, 211, 35, 29, 1, 1, 1
208, 6, 142, 213, 34, 19, 1, 1, 1
210, 2, 526, 232, 364, 122, 1, 4, 0
218, 6, 252, 215, 34, 19, 1, 1, 1
224, 2, 535, 238, 301, 115, 1, 4, 0
226, 1, 156, 224, 291, 161, 1, 4, 0
228, 6, 362, 220, 50, 61, 1, 1, 1
229, 6, 375, 220, 51, 69, 1, 1, 0
238, 6, 487, 215, 63, 141, 1, 1, 0
248, 6, 635, 198, 80, 163, 1, 1, 0
249, 2, 589, 244, 209, 103, 1, 4, 0
258, 6, 802, 178, 79, 197, 1, 1, 0
264, 2, 581, 244, 161, 87, 1, 4, 0
267, 1, 302, 242, 164, 106, 1, 4, 0
268, 6, 907, 159, 79, 228, 1, 1, 0
270, 2, 558, 245, 164, 88, 1, 4, 0
276, 6, 1018, 149, 76, 259, 1, 1, 0
278, 6, 1057, 146, 45, 267, 1, 1, 0
279, 6, 1078, 146, 24, 267, 1, 1, 0
280, 6, 1090, 241, 12, 64, 1, 1, 0
281, 6, 1086, 229, 16, 90, 0, 1, 0
288, 6, 1057, 146, 45, 267, 0, 1, 0
302, 2, 614, 274, 177, 97, 1, 4, 0
303, 2, 642, 269, 178, 97, 1, 4, 0
308, 2, 684, 261, 179, 98, 1, 4, 0
345, 1, 213, 203, 253, 181, 1, 4, 0
369, 2, 698, 183, 194, 109, 1, 4, 0
378, 1, 286, 250, 180, 134, 1, 4, 0
378, 2, 686, 273, 177, 97, 1, 4, 0
378, 3, 0, 217, 465, 403, 0, 4, 0
378, 4, 553, 213, 123, 62, 0, 4, 0
378, 5, 441, 247, 32, 18, 0, 4, 0
379, 1, 286, 250, 180, 134, 0, 4, 0
379, 2, 614, 274, 177, 97, 0, 4, 0
379, 3, 0, 217, 465, 403, 1, 4, 0
379, 4, 553, 213, 123, 62, 1, 4, 0
379, 5, 441, 247, 32, 18, 1, 4, 0
383, 4, 553, 213, 123, 62, 1, 4, 0
388, 5, 441, 247, 32, 18, 1, 4, 0
393, 4, 553, 213, 127, 66, 1, 4, 0
403, 4, 562, 219, 131, 69, 1, 4, 0
413, 4, 571, 223, 135, 72, 1, 4, 0
423, 4, 599, 216, 121, 69, 1, 4, 0
433, 4, 624, 214, 134, 75, 1, 4, 0
443, 4, 675, 203, 147, 82, 1, 4, 0
453, 4, 783, 182, 166, 111, 1, 4, 0
463, 4, 1039, 166, 60, 132, 1, 4, 0
464, 4, 1066, 184, 33, 114, 1, 4, 0
465, 4, 1066, 184, 33, 114, 0, 4, 0
472, 5, 456, 261, 32, 18, 1, 4, 0
501, 3, 0, 217, 465, 403, 1, 4, 0
501, 5, 463, 262, 36, 20, 1, 4, 0
501, 7, 530, 454, 111, 58, 1, 4, 0
502, 3, 0, 217, 465, 403, 1, 4, 0
502, 5, 463, 262, 36, 20, 1, 4, 0
502, 7, 530, 454, 111, 58, 1, 4, 0
503, 3, 0, 217, 465, 403, 1, 4, 0
503, 5, 463, 262, 36, 20, 1, 4, 0
503, 7, 530, 454, 111, 58, 1, 4, 0
504, 3, 0, 217, 465, 403, 1, 4, 0
504, 5, 463, 262, 36, 20, 1, 4, 0
504, 7, 530, 454, 111, 58, 1, 4, 0
505, 3, 0, 217, 465, 403, 1, 4, 0
505, 5, 463, 262, 36, 20, 1, 4, 0
505, 7, 530, 454, 111, 58, 1, 4, 0
