501, 1, 0, 221, 466, 399, 1, 4, 0
502, 1, 0, 221, 466, 399, 1, 4, 0
503, 1, 0, 221, 466, 399, 1, 4, 0
504, 1, 0, 221, 466, 399, 1, 4, 0
505, 1, 0, 221, 466, 399, 1, 4, 0
588, 1, 0, 221, 466, 399, 0, 4, 0
501, 2, 457, 262, 39, 16, 1, 4, 0
502, 2, 458, 262, 39, 16, 1, 4, 0
503, 2, 459, 262, 39, 16, 1, 4, 0
504, 2, 460, 262, 39, 16, 1, 4, 0
505, 2, 461, 262, 39, 16, 1, 4, 0
539, 2, 490, 254, 54, 25, 1, 4, 0
569, 2, 543, 247, 80, 32, 1, 4, 0
579, 2, 580, 240, 103, 36, 1, 4, 0
587, 2, 626, 230, 126, 44, 1, 4, 0
588, 2, 626, 230, 126, 44, 0, 4, 0
587, 3, 854, 241, 190, 66, 0, 4, 0
588, 3, 854, 241, 190, 66, 1, 4, 0
589, 3, 879, 240, 202, 66, 1, 4, 0
590, 3, 896, 240, 201, 66, 1, 4, 0
592, 3, 920, 239, 179, 66, 1, 4, 0
593, 3, 978, 238, 122, 66, 1, 4, 0
596, 3, 1052, 238, 48, 66, 1, 4, 0
597, 3, 1052, 238, 48, 66, 0, 4, 0
691, 4, 282, 190, 230, 164, 0, 4, 0
692, 4, 282, 190, 230, 164, 1, 4, 0
740, 4, 294, 258, 200, 133, 1, 4, 0
817, 4, 457, 268, 103, 83, 1, 4, 0
822, 4, 477, 239, 103, 83, 1, 4, 0
823, 4, 477, 239, 103, 83, 0, 4, 0
691, 5, 729, 196, 222, 129, 0, 4, 0
692, 5, 729, 196, 222, 129, 1, 4, 0
740, 5, 691, 269, 175, 112, 1, 4, 0
817, 5, 679, 273, 100, 76, 1, 4, 0
822, 5, 699, 240, 100, 76, 1, 4, 0
823, 5, 699, 240, 100, 76, 0, 4, 0
949, 6, 503, 281, 13, 13, 0, 1, 0
950, 6, 503, 281, 13, 13, 1, 1, 0
955, 6, 495, 281, 21, 13, 1, 1, 0
964, 6, 424, 278, 55, 30, 1, 1, 0
967, 6, 350, 282, 102, 36, 1, 1, 0
968, 6, 25, 269, 374, 93, 1, 1, 0
969, 6, 0, 272, 347, 93, 1, 1, 0
971, 6, 0, 273, 245, 93, 1, 1, 0
972, 6, 0, 273, 245, 93, 0, 1, 0
878, 7, 472, 272, 15, 17, 0, 1, 0
879, 7, 472, 272, 15, 17, 1, 1, 0
968, 7, 415, 272, 37, 17, 1, 1, 0
1001, 7, 365, 269, 45, 17, 1, 1, 0
1002, 7, 363, 269, 46, 17, 1, 1, 0
1003, 7, 361, 269, 47, 17, 1, 1, 0
1004, 7, 361, 269, 47, 17, 1, 1, 0
1005, 7, 361, 269, 47, 17, 1, 1, 0
